,,,,,
,,,"Não atende os seus contatos, desaparece após conseguir o preço",Necessidade pouco evidente da certificação,
,,,Gosta de um leilão,,
,,,Pede muito desconto (chorão),,
,,,Procastinador,,
,,,,,
,,,,,
,Persona,Produto,Caracteristicas,Dores,Diferenciais/Vacinas
,,,,,
,Cara da Qualidade,ISO 9001                                                       ISO 14001                                      ISO 45001,Estudioso/Informado,Sobrecarregado/sem tempo,Consultoria Ilimitada
,,,Trabalha em uma grande empresa ,Acha que vai fazer tudo sozinho,Definição da Equipe de gestão
,,,Analítico/Detalhista,Assume a resposabildiade pela avaliação técnica do fornecedor,Demonstração de capacidade técnica
,,,Adepto as melhorias,,Cases de sucesso
,,,Conhece os problemas da organização,Não quer ter dúvida nenhuma sobre a certificação,Trasferencia de conhecimento/ Vídeos Relação com a norma
,,,Cauteloso ,Boicote dos colaboradores ,Palestra envolvendo os colaboradores + visitas durante o projeto
,,FSSC 22000,Organizado,Descomplicar a norma para a alta direção,Participação da alta direção em uma 2 reunião
,,,Sistemico,Apresentar resultados a curto prazo,Identificação das fragilidades existentes na empresa (diagrama tartaruga/riscos e oportunidades)
,,,ciclo de vendas maior,,matriza com RDs fãs Templum
,,,,Apresentar resultados médio/longo prazo,Pós certificação
,,,,,Templates prontos
,,,,Disceminar os conhecimentos  e conceitos na empresa ,Vários usuários na plataforma (treinamentos online) curso entendimento
,,,,Evidenciar os problemas para a alta direção,Consultores participarem de reuniões internas
,,,,,Diagnóstico ou se aplicável visita de diagnóstico 
,,,,,
,Persona,Produto,Caracteristicas,Dores,Diferenciais/Vacinas
,,,,,
,Assumindo a Gestao,"PQI
PQC
ISO 9001",Busca por melhoria e atualização da gestão ,Insatisfação com a situação atual da empresa,Produtos específicos para o ramo do cliente/Templates e exemplos
,,,Não é cobrado por um cliente (não tem pressa),Mão de obra ultrapassada/desqualificada,Clientes do ramo do cliente certificado/Know How
,,,Tem conhecimento sobre o que Aborda a ISO (não é leigo),DEPENDENCIA DO PROPRIETÁRIO NA GESTÃO DA EMPRESA,Cases de sucesso gravados e indicações
,,,Jovem (possui familiaridade com técnologia),Os pais não aceitam bem as mudanças e uma gestão atualizada,"Transferencia de conhecimento e implementação em doses omeopáticas, Não será um choque de gestão"
,,,Fatura acima de 80*,Problemas na captação de clientes/site/Marketing,Continuação dos programas( Prata e Ouro aonde abordamos Marketing e a parte estratégica)
,,,Empresa a muito tempo no mercado,Produtos e serviços desatualizados,Focar na gestão estratégica e na reformulação da identidade e objetivos da empresa
,,,Enxerga valor na cultura da nossa empresa,Queda de faturamento ou Estagnação,Aumento de faturamento com uma gestão eficiente
,,,Exige uma abordagem técnica do vendedor,Custo/despesas operacionais elevadas,Diminuição de custos e retrabalho(focar em processos)
,,,Está engajado a se dedicar 1 hora por dia ou tem um funcionário para a tarefa,Boicote dos colaboradores,Palestra envolvendo os colaboradores
,,,Busca o melhor custo x benefício(o beneficio vale mais),Não Conhece os programas especificos/ PQI e PQC,Site e conteúdo específicos para esse segmento
,,,,Sendo engolido pela concorrencia ,
,,,"* Características parecidas com ""EU QUERO"" porém com dores específicas",* + as dores da PERSONA EU QUERO,
,,,,,
,,,,,
,Persona,Produto,Caracteristicas,Dores,Diferenciais/Vacinas
,,,,,
,Pau mandado/Proprietário,Todos os produtos ,Possui um sócio ou mais,Não tem autonomia,"não cobrar contratos, apenas avanços"
,,,Vaidoso (ego inflado),Não consegue conciliar agenda com o sócio (demonstração),Envolver o sócio em uma reunião e demonstração de capacidade
,,,"Ansioso, não para de falar",Não consegue convencer o sócio ou diretor,Possibilidade de freemium
,,,Mentiroso(fala que decide sozinho),Não sabe comprar serviço,Ajudar a persona a demostrar ao sócio ou diretor que a Certificação é indispensável
,Pau mandado/Funcionário,,cria uma falsa expectativa,Não consegue explicar o método com clareza,Garantia em contrato 120%
,,,Suga a sua energia,Problemas de comunição entre os sócios e diretores,"Pedir para o cliente não tentar explicar o método se ele gostou, pois o sócio vai ter objeções e ele não vai saber lidar com elas"
,,,Transmite uma falsa Autoridade ,,
,,,Empresa familiar,,
,,,,,
,,,,,
,,,,,
,Persona,Produto,Caracteristicas,Dores,Diferenciais/Vacinas
,,,,,
,Caiu no colo,Todos os produtos ,Cargos baixos e sem poder de decisão,Não entende o porque está pesquisando sobre essa norma,Explicar a importancia de uma consultoria 
,,,Pouco tempo na empresa,Não tem influencia na decisão,Envolver algum decisor o quanto antes nas etapas da venda
,,,não conhece a ISO ,Pode não saber necessidade da empresa com a norma,Explicar porque a ISO é um diferencial e exigencia de alguns fornecedores
,,,Pergunta apenas por preço e prazo,Precisa de ajuda para qualificar os fornecedores de consultoria,Explicar como são os métodos presenciais e forcar nos pontos fortes do nosso
,,,Resistente em passar informações da empresa,Não sabe quando inicia o projeto,Enviar um diagnóstico para medir engajamento dela e da direção
,,,Precisa ser tratado com empatia,Não sabe o budget,Não enviar proposta de valor sem antes alguem 
,,,Não conhece sobre Consultoria,Não sabe diferenciar consultoria presencial e online,
